pixels,pixel_max_d2fdlnλ2,chunk_id,fit_min_λ,fit_max_λ,fit_λc,fit_depth,fit_σ²,fit_a,fit_b,fit_covar,fit_χ²_per_dof,fit_converged,λ_near_center,f_near_center,dfdlnλ_near_center,df2dlnλ2_near_center,λ_min_flux,dfdlnλ_min_flux
1847:1889,1868,1,5177.7044561872,5178.113422447207,5177.911658343762,0.002285012668109119,0.03452734347769785,0.949427408524949,0.0044800398039403595,[0.1000860162716452 0.2596558086630054 44.81295008228749 58.86349472680317 0.012775523964840656; 0.2596558086629448 26.28229252601772 67.39649593647874 82.98884907999638 1.208514696390394; 44.812950082287614 67.39649593650665 20169.85110802034 26452.10666825762 3.4800729396707597; 58.863494726803246 82.9888490800331 26452.106668257584 35054.94080962691 4.286573306269728; 0.012775523964837885 1.208514696390395 3.480072939669481 4.286573306268047 0.0571805071865725],7.348711315288024e-7,true,5177.9089393172035,0.9472709103395165,179.97983720439746,906.6580049152674,5177.710430247379,179.9450773641979
1927:1968,1946,1,5178.483439539595,5178.8826685076965,5178.66437795628,0.0016504899126807931,0.043113637363990064,0.9544188408424713,0.008354409026661267,[0.24889768890352726 -2.7071915475280752 169.9014730207413 207.84493317410866 -0.08802406658769843; -2.707191547529264 171.83888100039474 -2572.0701041024236 -2994.3927089581152 5.127253328687498; 169.90147302074737 -2572.0701041016778 119681.86318592374 145521.82547363735 -81.318004292045; 207.84493317411477 -2994.39270895721 145521.82547363656 178072.46194980864 -94.6371518067422; -0.08802406658773317 5.127253328687459 -81.3180042920666 -94.63715180676844 0.15509795223951028],5.308261185512986e-7,true,5178.668448085788,0.9528850452891513,357.2458182164501,559.3331183242105,5178.029748522839,357.1768298551234
2078:2136,2104,1,5179.95377061724,5180.518533547725,5180.216071162877,0.0019024660481606163,0.08317123663215764,0.9632419838696359,0.0038916259462842572,[0.17804805807820975 -1.8930930552378573 99.89019150435938 123.09471510407903 -0.03629676196059521; -1.8930930552378045 145.36102400809852 -1321.015958435009 -1550.3256910423356 2.5499186861224206; 99.89019150435924 -1321.0159584350367 56588.5739680293 69513.66099061944 -24.846841345471276; 123.09471510407897 -1550.3256910423725 69513.66099061951 85935.52045955163 -29.153257221168236; -0.036296761960594275 2.5499186861224215 -24.84684134547078 -29.153257221167575 0.045433675391769165],1.0349095003405747e-5,true,5180.206940206767,0.9613777074737384,156.71158720669106,347.69075564488395,5179.75621902807,156.68133389692602
2204:2250,2227,1,5181.18066939726,5181.628584824887,5181.402154218573,0.0025371939087296845,0.03989510004630237,0.9676520124707564,0.004855850174362061,[0.07988800533781269 -0.001466318943323941 31.91826732184984 42.36205408979776 -0.0006093358592101513; -0.001466318943272829 20.393133000124166 -39.1496990516774 -48.90028191791487 0.8901116385496689; 31.918267321849736 -39.14969905169892 12834.168040014087 16990.074937812708 -1.9282365049945427; 42.362054089797624 -48.900281917944085 16990.074937812708 22748.11011895224 -2.4074852630333448; -0.0006093358592079263 0.8901116385496692 -1.9282365049936052 -2.4074852630320707 0.040060073868264795],1.3670880222475326e-6,true,5181.404627111074,0.9652304423857145,214.18629406156572,902.3046577596806,5181.167250198277,214.14495561843893
2564:2620,2592,1,5184.686094483036,5185.231382829712,5184.961218448674,0.06399068053813162,0.05911840427120077,0.9272423388308075,0.00089418318589102,[0.0693173146567999 0.003387773076086509 1.074301813923299 1.5176823651984008 0.002981577538310664; 0.003387773076086518 0.04047766434844486 0.05238900485634467 0.06929843640457611 0.03144477638717631; 1.0743018139232987 0.05238900485634446 16.66236708297353 23.48370757592256 0.04616118582308716; 1.5176823651984015 0.06929843640457278 23.483707575922573 33.47870569146385 0.06106072175141322; 0.0029815775383106704 0.03144477638717631 0.04616118582308732 0.06106072175141587 0.025246917869559033],0.001144462358457166,true,5184.958738656374,0.8682066828302846,-71.95095970555381,15189.026600986874,5184.963475691972,-71.93708284934921
2808:2849,2828,1,5187.06199370784,5187.461222675942,5187.254837809167,0.002374866738994874,0.03290945694863718,0.9983364970948425,0.007893821636846314,[0.10232224651944706 -0.1786941518941898 42.96534465438957 56.46535824343889 -0.011152918425870358; -0.17869415189408272 23.554941244220725 -151.94979676798954 -187.77176592460881 1.1871089518252174; 42.965344654389206 -151.9497967680336 18306.522570028716 23971.710417837396 -8.553435720743774; 56.46535824343852 -187.77176592466776 23971.710417837447 31725.13946878814 -10.5672197586036; -0.011152918425864968 1.1871089518252191 -8.553435720741563 -10.567219758600634 0.061530251148886744],8.723928245002372e-7,true,5187.256739545938,0.9960110675296827,354.5627860606074,1036.7156401227217,5186.914733722607,354.4944311491616
3014:3045,3031,1,5189.0678758402555,5189.369731889308,5189.241002607853,0.0010575682265778585,0.022420703713079117,1.0109727091482066,5.6023843026025895e-5,[0.30052101902287653 6.967643276953879 277.94339019003644 338.4009813886898 0.2681617088605269; 6.967643276953917 292.8269898446997 6463.9306716656965 7518.349753040196 10.810758329414217; 277.9433901900365 6463.930671665667 257133.44846120378 312677.68973719375 248.81385667843813; 338.4009813886893 7518.349753040136 312677.6897371932 383892.53591471165 289.1567185334899; 0.26816170886052854 10.810758329414213 248.81385667843932 289.15671853349227 0.4044391271732063],6.532876520087405e-7,true,5189.2334098026395,1.009930308852791,-6.340486071428985,667.6483765961366,5189.242906547174,-6.339264218455954
3099:3149,3124,1,5189.895545652174,5190.382410247421,5190.136182519694,0.01830855867859684,0.05696488112169018,1.0147450692795688,0.007631532844799703,[0.16498670009528085 -0.0229043479526041 8.624908088273063 11.07684444617659 -0.006167743629314789; -0.022904347952603762 0.7633119099341402 -1.512481883847682 -1.8533929668805695 0.1816471918249167; 8.624908088273068 -1.5124818838477552 451.1528661920053 578.6821276947011 -0.3975698986859536; 11.07684444617656 -1.8533929668806195 578.6821276946993 747.5789275828602 -0.4868893855053403; -0.006167743629314729 0.1816471918249167 -0.39756989868593684 -0.4868893855053295 0.04415499107035835],1.7953344131234483e-6,true,5190.138977949798,0.9962608053036273,377.20557033426206,5013.078178620071,5190.0637336474165,377.1328924529489
3375:3418,3398,1,5192.583038217936,5193.001741769848,5192.8042659551775,0.014498759182051305,0.039154065386048126,1.025701597719694,-0.0007706967568060523,[0.14567231063357186 0.1351031132341114 9.534077877392976 12.357859053458155 0.040218788040789336; 0.13510311323411467 0.9092262140755435 8.93410266064018 10.947490413708293 0.2466424343024517; 9.534077877392974 8.934102660639958 624.271074980524 807.8617798146505 2.6583657214235608; 12.357859053458135 10.947490413707982 807.8617798146493 1055.0122604552873 3.2569002422434887; 0.04021878804079025 0.2466424343024517 2.6583657214236243 3.256900242243577 0.06847218733273473],4.893068254354181e-5,true,5192.806995931749,1.0109621127982287,12.25474152295084,5625.421999701132,5192.804817474466,12.252381576951496
3469:3512,3490,1,5193.498343656999,5193.917047208912,5193.706840988954,0.014966751802291314,0.038694276475812174,1.0279783266100182,0.007642813981881595,[0.13721214200294848 -0.0033703322687479442 8.664206017787516 11.336631657260796 -0.0012239989703228679; -0.0033703322687488125 0.7195038087636899 -0.5731447231224327 -0.7183955946875651 0.199499518880827; 8.664206017787517 -0.573144723122482 547.5288962445999 715.2476328111001 -0.17730512856065128; 11.336631657260797 -0.7183955946875358 715.2476328111 942.6511574810895 -0.22187604823632517; -0.0012239989703231157 0.19949951888082704 -0.17730512856063727 -0.22187604823633353 0.056741358167223026],1.5380978775239028e-5,true,5193.702826787003,1.0127034761924187,278.1635502304324,5878.6922037001805,5193.6555095367385,278.1099921377535
